priority_rank,asset_id,department,asset_type,risk_probability,risk_score,rule_based_score,ai_priority_score,priority_category
1,ML-00182,ENGINEERING,Point & Crossing,0.8975724819863394,89.75724819863395,84.9275,87.83,CRITICAL
2,ML-01471,ENGINEERING,Bridge,0.919560430641715,91.9560430641715,78.7495,86.67,CRITICAL
3,ML-02607,TRD,OHE,0.8384882049210125,83.84882049210125,89.7095,86.19,CRITICAL
4,ML-03312,S&T,Point Machine,0.9110131846448428,91.10131846448428,77.582,85.69,CRITICAL
5,ML-01584,ENGINEERING,Point & Crossing,0.884005512767008,88.4005512767008,81.2055,85.52,CRITICAL
6,ML-01339,TRD,Section Insulator,0.9357509419118695,93.57509419118695,73.1465,85.4,CRITICAL
7,ML-04212,ENGINEERING,Bridge,0.8909894670660436,89.09894670660437,78.259,84.76,HIGH
8,ML-00564,S&T,Point Machine,0.8776667334925418,87.76667334925418,79.602,84.5,HIGH
9,ML-00621,TRD,Transformer,0.9510064735810908,95.10064735810909,68.3905,84.42,HIGH
10,ML-00088,S&T,Point Machine,0.8354206931660301,83.542069316603,84.7865,84.04,HIGH
11,ML-00468,ENGINEERING,Point & Crossing,0.8816233655109526,88.16233655109525,77.23349999999999,83.79,HIGH
12,ML-01400,S&T,Axle Counter,0.8626895863112864,86.26895863112864,79.009,83.36,HIGH
13,ML-04794,S&T,Point Machine,0.8400277898357251,84.00277898357251,80.832,82.73,HIGH
14,ML-01781,ENGINEERING,Point & Crossing,0.853449398780302,85.3449398780302,78.1585,82.47,HIGH
15,ML-04258,S&T,Axle Counter,0.8429927942513351,84.2992794251335,79.4785,82.37,HIGH
16,ML-04782,ENGINEERING,Bridge,0.8304098957848707,83.04098957848707,80.533,82.04,HIGH
17,ML-00881,TRD,OHE,0.821956902072619,82.19569020726189,80.941,81.69,HIGH
18,ML-02986,S&T,Signal,0.9031201558162794,90.31201558162793,68.0325,81.4,HIGH
19,ML-02696,TRD,OHE,0.8363802851753331,83.63802851753331,77.4255,81.15,HIGH
20,ML-02795,ENGINEERING,Bridge,0.8287509615206097,82.87509615206096,78.32350000000001,81.05,HIGH
21,ML-00112,ENGINEERING,Point & Crossing,0.9075354451510378,90.75354451510378,66.003,80.85,HIGH
22,ML-02441,ENGINEERING,Point & Crossing,0.8743805927925472,87.43805927925472,70.631,80.72,HIGH
23,ML-00995,ENGINEERING,Point & Crossing,0.8238997103921203,82.38997103921203,78.107,80.68,HIGH
24,ML-02121,S&T,Axle Counter,0.851584987107994,85.1584987107994,73.782,80.61,HIGH
