date,corridor_id,commodity,day_of_week,month,is_weekend,festival_period,operational_pressure,industrial_demand,previous_day_demand,goods_train_demand
2024-01-01,C01,CONTAINER,0,1,0,0,86,88,24,28.81
2024-01-01,C01,CONTAINER,0,1,0,0,69,45,11,21.91
2024-01-01,C01,PETROLEUM,0,1,0,0,87,41,28,18.6
2024-01-01,C01,PETROLEUM,0,1,0,0,50,79,7,15.67
2024-01-01,C01,FOOD_GRAINS,0,1,0,0,9,90,23,18.95
2024-01-01,C01,CEMENT,0,1,0,0,2,54,12,14.24
2024-01-01,C01,FOOD_GRAINS,0,1,0,0,55,34,31,17.3
2024-01-01,C01,FERTILIZER,0,1,0,0,72,20,35,13.67
2024-01-01,C01,IRON_ORE,0,1,0,0,62,27,8,16.9
2024-01-01,C02,COAL,0,1,0,0,94,55,12,27.27
2024-01-01,C02,COAL,0,1,0,0,30,48,21,24.1
2024-01-01,C02,COAL,0,1,0,0,29,93,12,28.8
2024-01-01,C02,PETROLEUM,0,1,0,0,80,61,15,19.99
2024-01-01,C02,COAL,0,1,0,0,42,26,8,15.64
2024-01-01,C02,FOOD_GRAINS,0,1,0,0,32,67,5,15.26
2024-01-01,C02,COAL,0,1,0,0,19,82,10,27.12
2024-01-01,C02,IRON_ORE,0,1,0,0,27,36,27,22.26
2024-01-01,C02,IRON_ORE,0,1,0,0,18,88,12,23.01
2024-01-01,C03,CONTAINER,0,1,0,0,31,75,17,23.05
2024-01-01,C03,COAL,0,1,0,0,86,51,35,29.41
2024-01-01,C03,CONTAINER,0,1,0,0,47,50,33,22.73
2024-01-01,C03,CONTAINER,0,1,0,0,41,32,10,13.72
2024-01-01,C03,CONTAINER,0,1,0,0,91,64,17,23.23
2024-01-01,C03,CONTAINER,0,1,0,0,62,82,17,26.62
2024-01-01,C04,CEMENT,0,1,0,0,57,42,26,23.84
2024-01-01,C04,CEMENT,0,1,0,0,12,56,27,23.06
2024-01-01,C04,COAL,0,1,0,0,3,39,24,19.02
2024-01-01,C04,FOOD_GRAINS,0,1,0,0,24,58,23,25.2
2024-01-01,C04,CEMENT,0,1,0,0,78,35,28,22.55
2024-01-01,C04,CEMENT,0,1,0,0,22,49,6,12.43
2024-01-01,C04,FERTILIZER,0,1,0,0,79,86,8,29.49
2024-01-01,C05,COAL,0,1,0,0,65,46,13,24.82
2024-01-01,C05,IRON_ORE,0,1,0,0,4,32,33,20.76
2024-01-01,C05,COAL,0,1,0,0,77,76,8,27.51
2024-01-01,C05,FOOD_GRAINS,0,1,0,0,72,36,22,16.18
2024-01-01,C05,CONTAINER,0,1,0,0,26,70,24,24.49
2024-01-01,C05,CONTAINER,0,1,0,0,33,24,24,15.2
2024-01-01,C05,FERTILIZER,0,1,0,0,68,46,35,23.7
2024-01-01,C05,PETROLEUM,0,1,0,0,84,55,20,17.49
2024-01-01,C05,IRON_ORE,0,1,0,0,74,63,21,27.19
2024-01-01,C05,CONTAINER,0,1,0,0,65,81,20,26.85
2024-01-01,C05,CEMENT,0,1,0,0,4,24,21,11.0
2024-01-01,C05,FERTILIZER,0,1,0,0,77,72,26,28.68
2024-01-01,C05,PETROLEUM,0,1,0,0,33,63,34,22.84
2024-01-01,C05,IRON_ORE,0,1,0,0,56,91,17,30.94
2024-01-01,C05,CEMENT,0,1,0,0,4,66,7,19.58
2024-01-01,C05,CEMENT,0,1,0,0,62,51,26,23.27
2024-01-01,C06,FOOD_GRAINS,0,1,0,0,39,86,8,18.58
2024-01-01,C06,CONTAINER,0,1,0,0,59,82,32,28.54
2024-01-01,C06,IRON_ORE,0,1,0,0,18,40,20,11.11
2024-01-01,C06,COAL,0,1,0,0,69,44,22,21.05
2024-01-01,C06,CEMENT,0,1,0,0,6,30,21,6.25
2024-01-01,C06,COAL,0,1,0,0,97,60,10,23.83
2024-01-01,C06,FOOD_GRAINS,0,1,0,0,32,48,32,14.21
2024-01-01,C06,PETROLEUM,0,1,0,0,27,54,12,15.1
2024-01-01,C06,PETROLEUM,0,1,0,0,90,60,32,22.88
2024-01-01,C06,FERTILIZER,0,1,0,0,36,25,29,19.89
2024-01-01,C06,CONTAINER,0,1,0,0,24,22,7,8.46
2024-01-01,C07,CONTAINER,0,1,0,0,33,51,23,18.93
2024-01-01,C07,CONTAINER,0,1,0,0,75,22,10,9.26
2024-01-01,C07,CEMENT,0,1,0,0,34,30,25,18.32
2024-01-01,C07,FERTILIZER,0,1,0,0,76,52,14,22.71
2024-01-01,C07,IRON_ORE,0,1,0,0,98,96,23,40.27
2024-01-01,C07,COAL,0,1,0,0,92,57,26,33.58
2024-01-01,C07,PETROLEUM,0,1,0,0,62,78,10,24.37
2024-01-01,C08,FOOD_GRAINS,0,1,0,0,22,98,31,27.03
2024-01-01,C08,CEMENT,0,1,0,0,94,76,21,29.72
2024-01-01,C08,CONTAINER,0,1,0,0,14,58,25,25.07
2024-01-01,C08,PETROLEUM,0,1,0,0,62,30,33,22.61
2024-01-01,C08,COAL,0,1,0,0,83,43,25,22.84
2024-01-01,C08,FOOD_GRAINS,0,1,0,0,22,69,9,18.35
2024-01-01,C08,FERTILIZER,0,1,0,0,54,60,16,18.91
2024-01-01,C08,IRON_ORE,0,1,0,0,84,68,28,24.11
2024-01-01,C08,FOOD_GRAINS,0,1,0,0,79,91,7,20.5
2024-01-01,C08,FOOD_GRAINS,0,1,0,0,17,63,12,14.97
2024-01-01,C09,FERTILIZER,0,1,0,0,45,39,26,23.88
2024-01-01,C09,CONTAINER,0,1,0,0,78,80,15,34.83
2024-01-01,C09,PETROLEUM,0,1,0,0,43,39,15,17.69
2024-01-01,C09,COAL,0,1,0,0,97,55,8,27.04
2024-01-01,C09,IRON_ORE,0,1,0,0,69,96,8,30.75
2024-01-01,C09,FERTILIZER,0,1,0,0,29,76,32,34.13
2024-01-01,C09,CONTAINER,0,1,0,0,96,57,24,36.23
2024-01-01,C09,CEMENT,0,1,0,0,72,73,21,31.88
2024-01-01,C09,COAL,0,1,0,0,4,81,13,29.43
2024-01-01,C10,PETROLEUM,0,1,0,0,55,28,31,18.47
2024-01-01,C10,CONTAINER,0,1,0,0,21,51,19,23.46
2024-01-01,C10,IRON_ORE,0,1,0,0,3,68,26,27.35
2024-01-01,C10,COAL,0,1,0,0,98,80,24,36.13
2024-01-01,C10,FOOD_GRAINS,0,1,0,0,62,31,28,15.34
2024-01-01,C10,IRON_ORE,0,1,0,0,17,69,12,22.26
2024-01-01,C10,FERTILIZER,0,1,0,0,61,49,5,18.88
2024-01-01,C10,CONTAINER,0,1,0,0,49,44,26,22.2
2024-01-02,C01,IRON_ORE,1,1,0,0,91,67,30,32.89
2024-01-02,C01,FOOD_GRAINS,1,1,0,0,23,91,19,21.99
2024-01-02,C01,FERTILIZER,1,1,0,0,65,49,26,18.83
2024-01-02,C01,CONTAINER,1,1,0,0,55,95,23,32.36
2024-01-02,C01,IRON_ORE,1,1,0,0,12,72,22,23.49
2024-01-02,C01,PETROLEUM,1,1,0,0,96,41,27,17.72
2024-01-02,C02,IRON_ORE,1,1,0,0,22,85,8,23.98
2024-01-02,C02,PETROLEUM,1,1,0,0,90,69,25,29.59
2024-01-02,C02,CEMENT,1,1,0,0,70,95,5,24.72
2024-01-02,C02,CONTAINER,1,1,0,0,79,30,12,19.62
2024-01-02,C02,COAL,1,1,0,0,60,43,10,19.45
2024-01-02,C02,FOOD_GRAINS,1,1,0,0,39,83,25,27.43
2024-01-02,C02,CONTAINER,1,1,0,0,92,49,9,19.59
2024-01-02,C02,COAL,1,1,0,0,53,41,28,27.95
2024-01-02,C02,IRON_ORE,1,1,0,0,93,96,26,35.18
2024-01-02,C02,CEMENT,1,1,0,0,54,52,11,17.86
2024-01-02,C02,FOOD_GRAINS,1,1,0,0,13,63,17,19.59
2024-01-02,C02,FERTILIZER,1,1,0,0,75,31,28,15.82
2024-01-02,C02,PETROLEUM,1,1,0,0,64,98,16,26.01
2024-01-02,C03,IRON_ORE,1,1,0,0,18,87,16,28.26
2024-01-02,C03,IRON_ORE,1,1,0,0,45,33,27,19.52
2024-01-02,C03,IRON_ORE,1,1,0,0,19,33,14,12.65
2024-01-02,C03,FOOD_GRAINS,1,1,0,0,10,41,31,16.52
2024-01-02,C03,COAL,1,1,0,0,85,74,27,30.7
2024-01-02,C03,COAL,1,1,0,0,41,71,26,28.36
2024-01-02,C03,FERTILIZER,1,1,0,0,16,53,10,13.82
2024-01-02,C03,CONTAINER,1,1,0,0,11,39,8,14.18
2024-01-02,C03,CONTAINER,1,1,0,0,13,37,17,15.63
2024-01-02,C04,IRON_ORE,1,1,0,0,94,33,26,25.1
2024-01-02,C04,FOOD_GRAINS,1,1,0,0,33,24,34,17.61
2024-01-02,C04,FOOD_GRAINS,1,1,0,0,11,83,23,23.38
2024-01-02,C04,FERTILIZER,1,1,0,0,9,23,28,18.93
2024-01-02,C04,COAL,1,1,0,0,9,64,10,24.99
2024-01-02,C04,PETROLEUM,1,1,0,0,4,31,24,14.5
2024-01-02,C04,IRON_ORE,1,1,0,0,89,65,33,35.65
2024-01-02,C04,IRON_ORE,1,1,0,0,25,64,26,28.72
2024-01-02,C04,FOOD_GRAINS,1,1,0,0,62,90,18,30.01
2024-01-02,C04,FERTILIZER,1,1,0,0,100,71,24,32.21
2024-01-02,C04,IRON_ORE,1,1,0,0,84,42,11,26.34
2024-01-02,C04,PETROLEUM,1,1,0,0,80,37,27,23.14
2024-01-02,C04,FOOD_GRAINS,1,1,0,0,20,26,20,10.79
2024-01-02,C04,FERTILIZER,1,1,0,0,78,78,25,30.82
2024-01-02,C05,CONTAINER,1,1,0,0,71,78,5,25.21
2024-01-02,C05,CEMENT,1,1,0,0,38,76,33,28.97
2024-01-02,C05,CONTAINER,1,1,0,0,48,34,14,16.9
2024-01-02,C05,FOOD_GRAINS,1,1,0,0,20,32,25,9.76
2024-01-02,C05,FOOD_GRAINS,1,1,0,0,52,50,23,17.7
2024-01-02,C05,CEMENT,1,1,0,0,71,31,20,15.45
2024-01-02,C05,CEMENT,1,1,0,0,97,24,29,19.64
2024-01-02,C05,CONTAINER,1,1,0,0,39,45,33,29.24
2024-01-02,C05,FERTILIZER,1,1,0,0,82,26,10,16.53
2024-01-02,C05,FOOD_GRAINS,1,1,0,0,28,89,18,20.6
2024-01-02,C05,IRON_ORE,1,1,0,0,97,44,8,17.3
2024-01-02,C05,CEMENT,1,1,0,0,95,51,14,23.44
2024-01-02,C06,FERTILIZER,1,1,0,0,93,20,31,13.35
2024-01-02,C06,PETROLEUM,1,1,0,0,26,42,14,12.19
2024-01-02,C06,COAL,1,1,0,0,40,40,32,22.89
2024-01-02,C06,IRON_ORE,1,1,0,0,20,46,31,17.29
2024-01-02,C06,COAL,1,1,0,0,68,94,33,35.83
2024-01-02,C06,PETROLEUM,1,1,0,0,36,86,24,22.75
