block_duration_min,start_hour,passenger_trains,goods_trains,special_trains,express_trains,regular_passenger_trains,corridor_congestion,peak_hour,criticality,maintenance_priority,traffic_impact_score
193,8,0,4,1,0,0,17,1,1,87,59.28
219,22,2,9,3,0,2,3,0,1,28,71.17
89,21,0,8,1,0,0,28,0,4,76,60.04
101,5,5,6,2,2,3,19,0,2,98,90.34
116,8,2,6,0,1,1,44,1,5,34,74.63
236,6,14,8,0,3,11,10,0,5,38,100.0
190,16,6,1,0,5,1,29,0,3,11,90.28
89,8,12,4,3,5,7,46,1,2,48,100.0
120,11,8,10,0,4,4,81,0,2,69,100.0
216,12,5,7,3,2,3,81,0,5,29,100.0
205,15,1,3,0,1,0,51,0,3,9,50.5
84,15,6,10,3,3,3,82,0,4,19,100.0
97,9,7,8,4,2,5,95,1,5,55,100.0
179,17,11,3,1,4,7,63,1,1,97,100.0
42,8,4,10,1,3,1,76,1,1,50,90.94
127,19,8,8,0,5,3,92,1,1,88,100.0
167,13,10,1,2,3,7,20,0,4,1,93.88
214,13,5,8,0,5,0,38,0,5,78,100.0
80,9,11,2,4,6,5,67,1,1,77,100.0
112,20,0,1,2,0,0,30,1,1,31,39.88
175,7,2,7,0,2,0,98,1,2,17,95.79
198,20,5,4,4,4,1,54,1,2,70,100.0
223,11,9,6,2,3,6,66,0,4,16,100.0
93,12,2,5,0,2,0,70,0,2,76,56.9
86,5,2,10,0,0,2,8,0,1,43,45.2
48,21,7,4,3,1,6,69,0,2,93,92.63
176,20,7,7,3,1,6,12,1,1,85,100.0
140,16,13,6,3,6,7,93,0,1,87,100.0
197,8,1,6,2,0,1,31,1,2,25,69.96
167,19,4,6,1,2,2,59,1,2,10,89.5
143,22,3,0,4,0,3,11,0,2,22,54.39
134,20,15,3,3,0,15,21,1,4,1,100.0
129,13,14,4,3,5,9,93,0,5,85,100.0
213,20,4,3,2,1,3,7,1,5,95,88.25
168,6,10,0,0,4,6,61,0,5,68,100.0
70,6,2,2,0,2,0,8,0,2,52,34.26
60,12,1,9,0,1,0,84,0,5,73,74.98
163,15,8,3,2,1,7,33,0,4,17,79.7
201,14,14,5,0,0,14,58,0,5,73,100.0
55,7,6,8,2,1,5,44,1,1,32,92.74
124,14,5,7,4,5,0,38,0,5,84,100.0
165,5,9,10,0,1,8,33,0,1,14,90.78
220,22,4,4,2,4,0,26,0,3,27,91.38
205,13,15,4,0,0,15,81,0,4,36,100.0
41,5,10,2,2,1,9,94,0,4,71,94.37
210,18,0,1,0,0,0,69,1,1,48,48.34
179,22,4,6,1,0,4,39,0,3,6,66.3
121,11,7,10,0,2,5,99,0,5,53,100.0
188,9,7,2,1,3,4,3,1,2,95,96.96
115,18,7,4,1,6,1,89,1,1,49,100.0
39,20,7,3,3,2,5,39,1,2,29,96.36
36,11,12,5,2,6,6,8,0,3,45,100.0
194,21,12,10,4,2,10,3,0,1,34,100.0
75,13,1,1,4,1,0,44,0,3,56,66.84
185,21,3,6,4,1,2,32,0,1,91,92.63
141,5,6,5,3,0,6,85,0,3,80,100.0
110,8,9,8,2,5,4,52,1,3,52,100.0
208,14,4,3,3,3,1,86,0,2,79,100.0
175,14,12,8,0,2,10,36,0,2,56,100.0
231,15,14,7,3,5,9,27,0,5,61,100.0
233,10,2,4,4,2,0,81,0,5,43,100.0
53,12,9,3,1,1,8,3,0,1,32,63.97
151,7,14,6,4,1,13,91,1,4,64,100.0
132,12,4,10,0,0,4,99,0,4,29,79.7
75,21,14,0,4,1,13,15,0,4,18,100.0
235,19,10,7,4,6,4,92,1,5,55,100.0
170,19,5,7,3,2,3,96,1,2,82,100.0
100,21,15,10,1,2,13,56,0,1,92,100.0
103,12,8,5,2,4,4,10,0,2,20,96.15
89,17,4,3,0,3,1,52,1,3,70,79.39
149,18,1,3,3,1,0,98,1,5,90,100.0
35,17,15,0,2,2,13,96,1,4,54,100.0
167,22,7,7,1,2,5,55,0,4,4,98.0
129,15,12,2,3,1,11,79,0,5,4,100.0
130,5,2,10,3,0,2,59,0,2,7,66.66
96,17,10,3,3,2,8,43,1,4,36,100.0
222,18,8,1,3,0,8,95,1,5,7,100.0
119,12,2,10,0,0,2,31,0,2,3,53.46
189,9,7,2,3,5,2,14,1,5,28,100.0
149,13,11,2,4,4,7,95,0,1,100,100.0
239,10,9,1,4,0,9,39,0,5,87,100.0
126,17,6,1,4,5,1,80,1,2,14,100.0
208,14,3,9,0,2,1,68,0,4,85,100.0
124,7,10,0,3,6,4,62,1,1,56,100.0
122,19,4,6,1,4,0,83,1,3,79,100.0
236,22,15,7,3,6,9,93,0,5,35,100.0
112,12,2,4,3,0,2,96,0,4,73,86.58
186,17,10,0,3,6,4,41,1,2,63,100.0
84,16,8,5,2,4,4,89,0,3,72,100.0
32,21,6,1,1,5,1,52,0,4,72,90.79
224,12,15,10,3,3,12,2,0,1,38,100.0
86,17,7,4,4,2,5,60,1,5,68,100.0
118,18,10,5,3,2,8,39,1,3,30,100.0
60,11,10,1,4,6,4,88,0,2,25,100.0
85,20,8,9,4,4,4,36,1,1,25,100.0
105,12,11,2,2,0,11,90,0,5,17,96.44
100,6,1,8,2,0,1,81,0,4,14,74.8
33,14,15,7,3,2,13,23,0,1,33,100.0
152,8,2,6,3,0,2,73,1,1,20,84.39
68,14,2,3,0,2,0,97,0,4,78,67.41
182,12,12,7,3,2,10,75,0,4,40,100.0
175,6,3,3,1,2,1,84,0,1,21,68.88
91,10,2,2,0,1,1,57,0,5,61,54.85
104,6,7,4,2,5,2,58,0,1,88,100.0
89,13,6,6,0,4,2,28,0,2,35,79.71
66,7,1,2,2,1,0,56,1,1,60,64.3
206,14,12,4,4,4,8,63,0,4,11,100.0
183,6,13,5,4,2,11,3,0,1,30,100.0
202,5,8,9,0,6,2,96,0,2,61,100.0
162,19,8,2,4,3,5,81,1,4,12,100.0
150,16,13,5,2,5,8,13,0,2,43,100.0
135,20,9,10,3,6,3,97,1,5,5,100.0
146,7,10,4,2,0,10,98,1,4,66,100.0
30,22,14,6,0,1,13,66,0,3,80,100.0
223,20,14,0,1,2,12,70,1,2,37,100.0
142,20,3,0,4,1,2,90,1,2,40,93.07
171,5,13,1,1,6,7,14,0,4,16,100.0
195,9,15,4,4,5,10,34,1,4,62,100.0
150,12,14,8,1,3,11,24,0,5,66,100.0
221,9,2,4,3,1,1,100,1,5,35,100.0
240,5,9,4,4,4,5,84,0,4,20,100.0
144,22,15,5,2,4,11,97,0,5,49,100.0
146,15,6,3,4,3,3,29,0,4,6,100.0
111,20,12,6,1,3,9,4,1,2,65,100.0
181,15,3,7,0,3,0,1,0,2,53,72.35
197,9,2,7,2,1,1,79,1,4,84,100.0
50,15,12,5,3,6,6,69,0,1,80,100.0
47,12,9,3,0,3,6,12,0,1,57,69.39
72,14,0,0,2,0,0,37,0,3,48,38.5
140,9,7,8,3,4,3,87,1,2,22,100.0
74,7,12,9,1,3,9,74,1,2,30,100.0
148,13,14,4,0,6,8,59,0,3,87,100.0
169,10,2,7,2,2,0,38,0,4,89,82.43
94,19,9,3,3,6,3,61,1,1,31,100.0
127,16,9,4,0,6,3,84,0,4,36,100.0
32,6,15,4,1,4,11,45,0,2,82,100.0
78,13,4,10,0,0,4,39,0,4,5,63.52
178,16,4,1,2,2,2,95,0,4,23,85.97
81,9,11,8,4,2,9,21,1,3,62,100.0
236,14,10,1,3,0,10,18,0,2,87,89.79
215,17,11,1,3,0,11,33,1,5,16,100.0
146,16,8,9,3,6,2,81,0,3,14,100.0
202,12,15,0,4,4,11,41,0,5,29,100.0
195,7,14,4,3,0,14,17,1,1,5,100.0
107,20,3,1,1,1,2,49,1,4,48,73.0
201,22,13,9,1,3,10,83,0,1,63,100.0
187,18,8,0,2,1,7,56,1,4,31,95.46
122,8,11,8,2,0,11,50,1,3,25,100.0
61,19,2,10,1,2,0,81,1,5,3,99.93
42,15,7,2,4,1,6,8,0,5,27,85.6
180,11,7,5,1,6,1,76,0,1,36,100.0
67,9,8,2,0,5,3,3,1,2,2,87.85
121,12,10,0,1,2,8,6,0,2,95,77.08
137,21,3,1,3,3,0,99,0,3,66,93.7
181,8,14,8,1,4,10,5,1,5,39,100.0
147,5,1,7,3,1,0,87,0,1,63,78.13
212,19,2,1,2,2,0,18,1,1,17,78.75
100,22,10,6,4,4,6,37,0,4,65,100.0
184,18,3,1,4,1,2,55,1,4,30,89.66
135,15,14,6,3,5,9,12,0,3,55,100.0
110,13,11,2,3,0,11,11,0,1,12,77.09
140,8,11,2,4,0,11,75,1,5,72,100.0
